properties_coddep,properties_codtypbien,properties_anneemut,properties_valeurfonc,properties_sterr,properties_sbati,id
01,14,2014,94149482.93,1844664.0,142202.0,144
01,14,2015,91125593.66,1464339.0,130457.0,156
01,14,2016,55878951.91,1662716.0,164707.0,157
01,14,2017,48402268.21,690582.0,143121.0,149
01,14,2018,76531785.48,5409588.0,187981.0,223
01,14,2019,180810445.6,2047550.0,282047.0,213
01,14,2020,70407913.92,1216397.0,132973.0,171
01,14,2021,111531833.06,1880925.0,248641.0,239
01,14,2022,100364347.84,1315077.0,249999.0,230
01,14,2023,80651625.0,1376554.0,126580.0,175
01,20,2014,15450050.7,3662948.0,0.0,155
01,20,2015,10809948.86,3019935.0,0.0,142
01,20,2016,7932692.75,1839728.0,0.0,123
01,20,2017,14502307.75,3904501.0,0.0,148
01,20,2018,17536078.64,3388281.0,0.0,145
01,20,2019,16213729.78,5768939.0,0.0,178
01,20,2020,16285205.92,4574258.0,0.0,156
01,20,2021,17852038.78,7607443.0,0.0,218
01,20,2022,44880135.7,4693988.0,0.0,200
01,20,2023,24466307.54,3585823.0,0.0,183
01,21,2014,63508041.21,768274.0,0.0,529
01,21,2015,81443496.22,1140789.0,0.0,515
01,21,2016,72772174.25,940893.0,0.0,604
01,21,2017,97320733.78,1278301.0,0.0,785
01,21,2018,112238960.12,1073572.0,0.0,579
01,21,2019,73103027.61,1162749.0,0.0,640
01,21,2020,91603224.88,1099690.0,0.0,667
01,21,2021,114796801.02,967787.0,0.0,924
01,21,2022,128909977.71000001,1227335.0,0.0,780
01,21,2023,74780191.64,971859.0,0.0,499
01,101,2014,5474597.42,4478.0,0.0,16
01,101,2015,20683146.71,18255.0,0.0,63
01,101,2016,58672102.64,40974.0,0.0,140
01,101,2017,33610017.37,19812.0,0.0,88
01,101,2018,61705597.3,40548.0,0.0,58
01,101,2019,29456218.9,29494.0,0.0,69
01,101,2020,43227033.01,35371.0,0.0,110
01,101,2021,72995785.87,35704.0,0.0,128
01,101,2022,112768607.74000001,12356.0,0.0,331
01,101,2023,131831542.4,20776.0,0.0,341
01,102,2014,2051560.0,2951.0,925.0,9
01,102,2015,5123899.12,11173.0,8477.0,16
01,102,2016,7182396.0,41279.0,6317.0,29
01,102,2017,8835415.16,7325.0,453.0,21
01,102,2018,6399411.62,8031.0,1271.0,25
01,102,2019,21021843.0,14999.0,2722.0,29
01,102,2020,4826163.0,4003.0,1224.0,19
01,102,2021,4071750.0,5244.0,983.0,25
01,102,2022,31654150.0,8202.0,5205.0,33
01,102,2023,131138515.0,6075.0,1073.0,25
01,111,2014,443677758.67,5834633.0,218817.0,2031
01,111,2015,521888480.95,6459696.0,254426.0,2334
01,111,2016,527473440.06,5828094.0,264272.0,2393
01,111,2017,659574682.64,5769084.0,312826.0,2839
01,111,2018,684822265.28,6607301.0,317661.0,2866
01,111,2019,771376756.82,9605700.0,351819.0,3175
01,111,2020,756668435.8,7465576.0,326851.0,2930
01,111,2021,995314086.02,9845205.0,389526.0,3466
01,111,2022,961321570.52,8999130.0,346593.0,3137
01,111,2023,728255866.41,9361294.0,264789.0,2399
01,112,2014,18613305.0,325515.0,14421.0,66
01,112,2015,30860612.2,297071.0,19858.0,82
01,112,2016,18436786.9,433527.0,13848.0,77
01,112,2017,25827653.8,1334621.0,18302.0,92
01,112,2018,22872022.0,536316.0,18825.0,99
01,112,2019,57981385.0,1039740.0,33748.0,126
01,112,2020,42349667.78,638905.0,27625.0,129
01,112,2021,43434467.1,722466.0,27769.0,126
01,112,2022,37061653.8,1094812.0,22227.0,120
01,112,2023,34429890.5,1509100.0,19691.0,87
01,120,2014,7066621.45,61758.0,7998.0,31
01,120,2015,10779881.9,47488.0,10608.0,30
01,120,2016,22212772.7,341838.0,10828.0,39
01,120,2017,15530204.0,69206.0,17133.0,40
01,120,2018,31719971.8,49187.0,17796.0,40
01,120,2019,40315855.9,42916.0,22121.0,70
01,120,2020,29371226.16,110575.0,17637.0,52
01,120,2021,41915781.6,75746.0,28002.0,61
01,120,2022,15225151.0,68699.0,12009.0,51
01,120,2023,8481641.86,604855.0,10853.0,36
01,121,2014,93505544.19,27320.0,38496.0,551
01,121,2015,86552510.45,27942.0,40485.0,570
01,121,2016,109450862.88,68376.0,47977.0,657
01,121,2017,129939213.73,58772.0,54588.0,770
01,121,2018,153879596.75,111253.0,59146.0,856
01,121,2019,181406732.5,27432.0,66373.0,970
01,121,2020,175566639.35999998,33098.0,63291.0,907
01,121,2021,201201845.85,118530.0,74090.0,1051
01,121,2022,179205982.11,36364.0,62690.0,897
01,121,2023,127622239.83,41251.0,44063.0,640
01,122,2014,9697092.72,90814.0,8596.0,67
01,122,2015,11261605.93,132662.0,8727.0,67
01,122,2016,11183884.9,129162.0,10572.0,71
01,122,2017,19589634.0,148205.0,13768.0,93
01,122,2018,16293812.0,159281.0,13203.0,90
01,122,2019,17096000.0,104269.0,13868.0,109
01,122,2020,17876541.66,338347.0,11468.0,81
01,122,2021,22170332.42,108271.0,14422.0,109
01,122,2022,21996313.66,143310.0,12641.0,87
01,122,2023,18394979.0,393131.0,10145.0,71
01,131,2014,3079188.32,74728.0,0.0,75
01,131,2015,3109578.9,54746.0,0.0,77
01,131,2016,2961925.0,111849.0,0.0,88
01,131,2017,4726217.0,1374870.0,0.0,97
01,131,2018,3732109.0,40133.0,0.0,93
01,131,2019,4123783.02,61816.0,0.0,97
01,131,2020,5222666.0,143199.0,0.0,107
01,131,2021,5746553.9,143474.0,0.0,120
01,131,2022,8064820.38,64503.0,0.0,116
01,131,2023,4044026.0,464456.0,0.0,105
01,132,2014,307003.0,910.0,0.0,12
01,132,2015,414350.0,1580.0,0.0,15
01,132,2016,1556306.0,20918.0,0.0,15
01,132,2017,1453396.0,1760.0,0.0,22
01,132,2018,4340517.0,4953.0,0.0,19
01,132,2019,1105850.0,5348.0,0.0,23
01,132,2020,1182700.0,5576.0,0.0,17
01,132,2021,2969467.96,64839.0,0.0,36
01,132,2022,1397601.0,7468.0,0.0,23
01,132,2023,2297824.55,22939.0,0.0,29
01,151,2014,3422100.0,328589.0,3242.0,12
01,151,2015,4069496.0,29346.0,5756.0,19
01,151,2016,9461060.0,39621.0,5131.0,19
01,151,2017,22865013.19,51710.0,10055.0,21
01,151,2018,4327968.0,23319.0,3504.0,20
01,151,2019,30932631.0,86275.0,18431.0,22
01,151,2020,8658369.0,33912.0,6039.0,28
01,151,2021,9196160.0,171363.0,5939.0,24
01,151,2022,10178846.0,112769.0,6668.0,25
01,151,2023,5715330.0,27997.0,3582.0,16
01,152,2014,27068519.69,964922.0,37520.0,92
01,152,2015,36440559.11,1425731.0,73954.0,124
01,152,2016,30236624.94,470490.0,51270.0,101
01,152,2017,35443948.3,448753.0,46868.0,130
01,152,2018,46404170.12,1197057.0,61791.0,167
01,152,2019,59810704.9,1413796.0,88338.0,157
01,152,2020,44814317.2,808863.0,84583.0,147
01,152,2021,93367527.86,1752049.0,99793.0,181
01,152,2022,70812511.24,841538.0,192405.0,157
01,152,2023,41435689.21,376115.0,41532.0,120
01,221,2014,4221579.0,48395.0,0.0,65
01,221,2015,3337424.3,38045.0,0.0,64
01,221,2016,4383229.38,56702.0,0.0,83
01,221,2017,4637818.8,46904.0,0.0,70
01,221,2018,2495384.0,28158.0,0.0,62
01,221,2019,4367198.8,41300.0,0.0,80
01,221,2020,5109362.2,36040.0,0.0,67
01,221,2021,4319289.0,43406.0,0.0,88
01,221,2022,5960530.99,47438.0,0.0,88
01,221,2023,4814931.68,46808.0,0.0,88
01,222,2014,10000.0,3818.0,0.0,1
01,222,2017,33025.0,83090.0,0.0,3
01,222,2018,200.0,980.0,0.0,1
01,222,2022,1500.0,7750.0,0.0,1
01,222,2023,2094.0,10470.0,0.0,1
01,223,2019,4986.0,426.0,0.0,2
01,229,2014,14926256.84,239730.0,0.0,317
01,229,2015,14487865.28,148698.0,0.0,286
01,229,2016,18211332.09,221481.0,0.0,322
01,229,2017,17789266.87,226617.0,0.0,307
01,229,2018,26584400.04,163709.0,0.0,312
01,229,2019,27188184.47,239888.0,0.0,378
01,229,2020,20803718.22,415616.0,0.0,297
01,229,2021,30850179.1,202970.0,0.0,379
01,229,2022,35009773.39,282647.0,0.0,398
01,229,2023,27836535.04,240069.0,0.0,345
01,232,2014,1500145.23,3134741.0,0.0,187
01,232,2015,1225145.56,2892424.0,0.0,165
01,232,2016,1080945.84,2758474.0,0.0,153
01,232,2017,1087729.23,2530345.0,0.0,178
01,232,2018,3559139.29,4615049.0,0.0,206
01,232,2019,2049268.71,3695299.0,0.0,217
01,232,2020,4640194.1,5600142.0,0.0,156
01,232,2021,2129606.69,4692724.0,0.0,239
01,232,2022,4256280.5,5625727.0,0.0,271
01,232,2023,2271201.99,4736418.0,0.0,234
01,233,2014,533557.12,569893.0,0.0,40
01,233,2015,882194.35,678628.0,0.0,48
01,233,2016,1167594.0,1095458.0,0.0,40
01,233,2017,331897.1,458140.0,0.0,49
01,233,2018,1519536.8599999999,1519465.0,0.0,47
01,233,2019,543887.76,784505.0,0.0,56
01,233,2020,1075340.53,830665.0,0.0,51
01,233,2021,846476.1,522609.0,0.0,52
01,233,2022,679902.1,656045.0,0.0,73
01,233,2023,224373.88,430917.0,0.0,52
01,239,2014,67816.65,458591.0,0.0,11
01,239,2015,73892.04000000001,487412.0,0.0,10
01,239,2016,89209.85,739305.0,0.0,12
01,239,2017,490149.0,706756.0,0.0,12
01,239,2018,161126.36000000002,552093.0,0.0,16
01,239,2019,106417.3,422777.0,0.0,18
01,239,2020,238387.74,186302.0,0.0,11
01,239,2021,179663.38,988845.0,0.0,25
01,239,2022,20842.3,180923.0,0.0,9
01,239,2023,1006606.6,1939646.0,0.0,20
01,2311,2014,1249765.8,131428.0,0.0,31
01,2311,2015,405908.3,73654.0,0.0,19
01,2311,2016,288505.75,36520.0,0.0,17
01,2311,2017,532584.6,88991.0,0.0,26
01,2311,2018,258149.0,72139.0,0.0,30
01,2311,2019,358654.0,46812.0,0.0,27
01,2311,2020,324014.36,82601.0,0.0,21
01,2311,2021,464122.54000000004,167245.0,0.0,33
01,2311,2022,1011754.5,160351.0,0.0,43
01,2311,2023,1152556.0,70284.0,0.0,25
01,2312,2014,294654.0,1914.0,0.0,3
01,2312,2015,1106593.5,13077.0,0.0,5
01,2312,2016,87755.0,13619.0,0.0,6
01,2312,2017,318000.0,1275.0,0.0,2
01,2312,2018,382800.0,3499.0,0.0,3
01,2312,2019,1245000.0,5603.0,0.0,5
01,2312,2020,534068.0,7500.0,0.0,4
01,2312,2021,226428.0,1475.0,0.0,3
01,2312,2022,569295.0,24140.0,0.0,12
01,2312,2023,60467.0,11198.0,0.0,7
01,2313,2014,28023471.99,10996165.0,0.0,657
01,2313,2015,34191802.8,11781441.0,0.0,686
01,2313,2016,28137454.85,11374997.0,0.0,680
01,2313,2017,25094165.49,13184231.0,0.0,713
01,2313,2018,35295973.55,13686259.0,0.0,801
01,2313,2019,35090204.85,14810597.0,0.0,896
01,2313,2020,29844942.08,13881396.0,0.0,784
01,2313,2021,30730495.87,18329082.0,0.0,1030
01,2313,2022,50526063.76,18687956.0,0.0,1069
01,2313,2023,41918210.62,20706937.0,0.0,976
01,2319,2016,4000.0,24272.0,0.0,1
01,2319,2020,1870.5,3741.0,0.0,1
01,2319,2021,6125.6,20589.0,0.0,2
01,2319,2023,11582.0,80528.0,0.0,3
02,14,2014,7699505.03,238634.0,73858.0,42
02,14,2015,6015107.15,6417914.0,33317.0,38
02,14,2016,71740635.45,5044725.0,123554.0,38
02,14,2017,25708549.26,828273.0,249475.0,56
02,14,2018,7703325.71,334242.0,63170.0,32
02,14,2019,25622849.0,223508.0,57877.0,89
02,14,2020,12155768.7,603151.0,89698.0,69
02,14,2021,19149066.84,745870.0,116429.0,74
02,14,2022,10055670.3,284223.0,52148.0,52
02,14,2023,9656446.67,347786.0,29033.0,55
02,20,2014,2522147.89,3270814.0,0.0,34
02,20,2015,932984.75,2224449.0,0.0,38
02,20,2016,4666461.65,3057050.0,0.0,35
02,20,2017,1813081.0,1363415.0,0.0,40
02,20,2018,3237851.67,4465928.0,0.0,48
02,20,2019,7089998.47,5979897.0,0.0,50
02,20,2020,2836429.35,3499331.0,0.0,32
02,20,2021,3479539.3,3962077.0,0.0,50
02,20,2022,3721052.88,2069930.0,0.0,44
02,20,2023,4047232.42,1966832.0,0.0,47
02,21,2014,2930464.65,131833.0,0.0,68
02,21,2015,2749428.06,77217.0,0.0,56
02,21,2016,1678023.74,57305.0,0.0,51
02,21,2017,2328503.47,393171.0,0.0,60
02,21,2018,2047378.33,87637.0,0.0,46
02,21,2019,2400885.2,60496.0,0.0,52
02,21,2020,2426167.5,65012.0,0.0,54
02,21,2021,3664909.02,147424.0,0.0,60
02,21,2022,3761120.0,276075.0,0.0,58
02,21,2023,6052262.1,668087.0,0.0,53
02,101,2014,0.0,325.0,0.0,1
02,101,2017,13000.0,273.0,0.0,1
02,101,2019,129771.0,0.0,0.0,1
02,101,2022,210000.0,209.0,0.0,1
02,102,2014,85001.0,3626.0,0.0,2
02,102,2015,3201415.0,4347.0,0.0,3
02,102,2016,653400.0,0.0,0.0,6
02,102,2017,673500.0,91005.0,427.0,9
02,102,2018,854481.8,5275.0,400.0,8
02,102,2019,615701.0,36559.0,190.0,7
02,102,2020,978842.0,5306.0,188.0,8
02,102,2021,3004314.0,5141.0,648.0,9
02,102,2022,927800.0,11.0,0.0,7
02,102,2023,2175600.0,605.0,311.0,13
02,110,2018,23000.0,153.0,1.0,1
02,111,2014,76492028.5,832375.0,64983.0,680
02,111,2015,92641347.52,1222877.0,78229.0,804
02,111,2016,91246879.54,2995461.0,77299.0,804
02,111,2017,98663155.55,1067105.0,83285.0,842
02,111,2018,103104286.59,1446980.0,87500.0,889
02,111,2019,100928498.29,1209762.0,87488.0,880
02,111,2020,109933174.05,1176094.0,90941.0,919
02,111,2021,141100903.51,1418093.0,111148.0,1119
02,111,2022,135945091.0,1489236.0,99386.0,1025
02,111,2023,100999530.03,1341945.0,78298.0,822
02,112,2014,3870751.0,1318661.0,4015.0,21
02,112,2015,3524178.0,48506.0,6926.0,31
02,112,2016,5559792.18,227815.0,7986.0,41
02,112,2017,1761563.0,215398.0,2219.0,10
02,112,2018,5905000.0,1740107.0,8077.0,36
02,112,2019,3568100.0,81480.0,4897.0,27
02,112,2020,3444701.0,270212.0,7726.0,32
02,112,2021,5531301.0,249520.0,8877.0,43
02,112,2022,6224898.0,858656.0,6927.0,35
02,112,2023,3850880.0,41994.0,5468.0,29
02,120,2014,2339500.0,5859.0,4505.0,6
02,120,2015,7097163.470000001,11422.0,4944.0,13
02,120,2016,468000.0,3033.0,1498.0,6
02,120,2017,2770500.0,7197.0,3541.0,16
02,120,2018,1075000.0,2358.0,1505.0,6
02,120,2019,1394700.0,3443.0,2177.0,10
02,120,2020,1552000.0,4524.0,3042.0,12
02,120,2021,4561100.0,18592.0,6506.0,20
02,120,2022,3422600.0,10720.0,4708.0,17
02,120,2023,2608300.0,9665.0,4000.0,17
02,121,2014,751000.0,333.0,654.0,13
02,121,2015,879645.0,143.0,674.0,18
02,121,2016,2247490.0,1506.0,1671.0,26
02,121,2017,1840926.0,1985.0,1093.0,23
02,121,2018,1494683.0,733.0,1364.0,22
02,121,2019,1561806.0,394.0,1589.0,27
02,121,2020,1976207.0,2610.0,2056.0,29
02,121,2021,2082100.0,1016.0,2045.0,33
02,121,2022,2027300.0,1048.0,1853.0,33
02,121,2023,2035221.0,2965.0,1694.0,30
02,122,2014,545780.0,3115.0,793.0,8
02,122,2015,604500.0,786.0,680.0,7
02,122,2016,567200.0,2928.0,1246.0,7
02,122,2017,529700.0,4328.0,1313.0,9
02,122,2018,519000.0,4095.0,548.0,5
02,122,2019,310900.0,1116.0,656.0,5
02,122,2020,809300.0,3893.0,1117.0,8
02,122,2021,1477000.0,11339.0,1605.0,13
02,122,2022,754500.0,3059.0,925.0,7
02,122,2023,1174653.0,3990.0,1806.0,13
02,131,2014,799506.5,110061.0,0.0,28
02,131,2015,750426.0,49433.0,0.0,26
02,131,2016,535136.0,71461.0,0.0,26
02,131,2017,438740.0,30979.0,0.0,18
02,131,2018,819860.0,57977.0,0.0,26
02,131,2019,502248.0,62497.0,0.0,23
02,131,2020,419850.0,79509.0,0.0,19
02,131,2021,1737812.4,1531773.0,0.0,34
02,131,2022,654850.0,69015.0,0.0,31
02,131,2023,525610.0,72650.0,0.0,20
02,132,2014,309901.0,16245.0,0.0,13
02,132,2015,200000.0,1967.0,0.0,6
02,132,2016,62000.0,605.0,0.0,2
02,132,2017,90500.0,893.0,0.0,3
02,132,2018,261002.0,4062.0,0.0,7
02,132,2019,43000.0,1070.0,0.0,4
02,132,2020,118900.0,1914.0,0.0,5
02,132,2021,147900.0,6099.0,0.0,5
02,132,2022,989058.0,34884.0,0.0,20
02,132,2023,606429.2,65341.0,0.0,13
02,151,2014,81500.0,625.0,138.0,1
02,151,2015,437600.0,1990.0,965.0,4
02,151,2016,1181655.0,16711.0,1380.0,5
02,151,2017,492000.0,5200.0,1980.0,6
02,151,2018,272000.0,2286.0,975.0,3
02,151,2019,1037000.0,6196.0,1665.0,5
02,151,2020,387000.0,24023.0,930.0,2
02,151,2021,1823750.0,5242.0,3048.0,8
02,151,2022,483200.0,2804.0,1172.0,5
02,151,2023,1149400.0,81936.0,3353.0,7
02,152,2014,10616194.07,5049021.0,86616.0,30
02,152,2015,23894500.0,3596660.0,28803.0,31
02,152,2016,3860959.62,327357.0,6311.0,26
02,152,2017,6839485.0,100303.0,16368.0,37
02,152,2018,16476465.0,408167.0,203918.0,34
02,152,2019,9249050.81,568878.0,26063.0,57
02,152,2020,7296074.0,286236.0,18462.0,43
02,152,2021,8846039.0,637439.0,27119.0,57
02,152,2022,4983340.23,75800.0,25099.0,32
02,152,2023,5966935.0,73163.0,11376.0,42
02,221,2014,822047.0,47012.0,0.0,52
02,221,2015,819594.91,44873.0,0.0,50
02,221,2016,559611.2,35958.0,0.0,48
02,221,2017,787291.0,29240.0,0.0,42
02,221,2018,923239.3,105711.0,0.0,51
02,221,2019,864216.0,37734.0,0.0,53
02,221,2020,999459.0,62111.0,0.0,59
02,221,2021,915396.4,66665.0,0.0,67
02,221,2022,718600.0,62665.0,0.0,54
02,221,2023,997187.5,109764.0,0.0,64
02,223,2018,2500.0,180.0,0.0,1
02,223,2020,104.0,326.0,0.0,1
02,223,2022,51.2,160.0,0.0,1
02,229,2014,2499810.5,69579.0,0.0,59
02,229,2015,822842.0,24475.0,0.0,48
02,229,2016,1784411.66,204805.0,0.0,62
02,229,2017,2021674.3,249524.0,0.0,56
02,229,2018,1700976.28,50844.0,0.0,47
02,229,2019,1733293.6400000001,39445.0,0.0,47
02,229,2020,2538994.0,54270.0,0.0,55
02,229,2021,1783481.2,37640.0,0.0,57
02,229,2022,2594564.8,64486.0,0.0,76
02,229,2023,2667221.18,60320.0,0.0,60
02,232,2014,1956412.59,2877518.0,0.0,68
02,232,2015,1003664.8999999999,1170476.0,0.0,69
